"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210801 ~ 20210831"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202108","21","199,500","6","2020","개포로 264",""
"서울특별시 강남구 개포동","185","0185","0000","개포주공 7단지","83.7","202108","20","280,000","2","1983","개포로 516",""
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","59.8732","202108","17","233,000","4","2019","삼성로 11",""
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","59.967","202108","14","227,000","10","2019","선릉로 8",""
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202108","1","169,000","10","1992","개포로109길 9",""
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202108","4","119,500","3","1992","개포로109길 9",""
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202108","6","141,000","9","1992","개포로109길 9",""
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","49.86","202108","18","170,000","4","1992","개포로109길 9",""
"서울특별시 강남구 개포동","177","0177","0000","현대3","163.85","202108","10","390,000","4","1986","개포로 409",""
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","42.015","202108","2","45,000","11","1996","강남대로112길 41",""
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","39.035","202108","11","49,500","11","1996","강남대로112길 41","20210901"
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","39.035","202108","11","49,500","11","1996","강남대로112길 41",""
"서울특별시 강남구 논현동","241-1","0241","0001","논현파라곤","117.84","202108","17","172,000","9","2007","학동로 338",""
