"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210801 ~ 20210831"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 서초구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 서초구 내곡동","BL-1","0001","0000","서초더샵포레","114.71","202108","14","185,000","8","2014","헌릉로8길 58",""
"서울특별시 서초구 반포동","18-1","0018","0001","래미안퍼스티지","169.31","202108","7","527,000","26","2009","반포대로 275",""
"서울특별시 서초구 반포동","757","0757","0000","반포 주공1단지","106.25","202108","9","455,000","2","1973","신반포로 9",""
"서울특별시 서초구 반포동","1341","1341","0000","반포래미안아이파크","99.92","202108","5","350,000","3","2018","서초중앙로 220",""
"서울특별시 서초구 반포동","1342","1342","0000","반포써밋","84.9716","202108","7","300,000","20","2018","고무래로 89",""
"서울특별시 서초구 반포동","1342","1342","0000","반포써밋","59.9207","202108","7","235,000","18","2018","고무래로 89",""
"서울특별시 서초구 반포동","701-4","0701","0004","보아스힐(701-4)","95.38","202108","6","120,000","5","2006","주흥17길 22",""
"서울특별시 서초구 반포동","2-12","0002","0012","아크로리버파크","84.99","202108","25","375,000","3","2016","신반포로15길 19",""
"서울특별시 서초구 방배동","956-8","0956","0008","네스코","130.15","202108","6","216,000","6","2002","청두곶길 78",""
"서울특별시 서초구 방배동","971-1","0971","0001","뉴캐슬","86.57","202108","2","115,500","4","2004","도구로 47","20210812"
"서울특별시 서초구 방배동","971-1","0971","0001","뉴캐슬","86.57","202108","2","115,500","4","2004","도구로 47",""
"서울특별시 서초구 방배동","775-1","0775","0001","래미안방배에버뉴","181.481","202108","3","245,000","9","1977","동광로19길 51",""
"서울특별시 서초구 방배동","775-1","0775","0001","래미안방배에버뉴","181.481","202108","3","245,000","9","1977","동광로19길 51","20210830"
"서울특별시 서초구 방배동","424-28","0424","0028","롯데캐슬아르떼","147.7221","202108","4","289,500","3","2013","방배천로18길 11",""
"서울특별시 서초구 방배동","915-16","0915","0016","방배 서리풀 힐스","128.11","202108","11","189,000","10","2006","방배로11길 35",""
"서울특별시 서초구 방배동","2001","2001","0000","방배2차현대홈타운","147.26","202108","4","250,000","15","2001","서초대로1길 34",""
