"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210801 ~ 20210831"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 송파구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 송파구 가락동","95-1","0095","0001","가락금호아파트","59.91","202108","8","123,000","1","1997","송파대로32길 15",""
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.88","202108","2","121,000","2","1999","송이로15길 31",""
"서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","84.42","202108","12","135,000","1","1999","송이로15길 31",""
"서울특별시 송파구 가락동","70-19","0070","0019","대림","84.11","202108","9","140,000","2","1988","송이로 88",""
"서울특별시 송파구 가락동","70-19","0070","0019","대림","120.96","202108","11","170,000","5","1988","송이로 88",""
"서울특별시 송파구 가락동","98","0098","0000","두산위브","25.05","202108","5","15,000","10","2004","송파대로30길 16",""
"서울특별시 송파구 가락동","913","0913","0000","헬리오시티","110.44","202108","6","291,000","24","2018","송파대로 345",""
"서울특별시 송파구 가락동","913","0913","0000","헬리오시티","84.99","202108","7","237,000","25","2018","송파대로 345",""
"서울특별시 송파구 거여동","291","0291","0000","거여2단지","101.95","202108","9","132,000","1","1997","양산로8길 24",""
"서울특별시 송파구 거여동","291","0291","0000","거여2단지","101.95","202108","23","139,500","15","1997","양산로8길 24",""
"서울특별시 송파구 거여동","293","0293","0000","거여4단지","39.6","202108","7","77,000","6","1997","양산로4길 8",""
"서울특별시 송파구 거여동","294","0294","0000","거여5단지","59.74","202108","7","94,000","5","1997","양산로4길 16",""
"서울특별시 송파구 거여동","45-1","0045","0001","블레스","76.47","202108","4","64,400","7","2005","거마로8길 23",""
"서울특별시 송파구 마천동","319","0319","0000","금호어울림","84.96","202108","5","110,000","11","2006","성내천로 314",""
"서울특별시 송파구 마천동","319","0319","0000","금호어울림","84.96","202108","14","110,000","5","2006","성내천로 314",""
