날짜,2022학년도 국문 학사력 - 대전캠퍼스 ,날짜(Date),2022학년도 영문 학사력 - 대전캠퍼스(KAIST Academic Calendar 2022 - Daejeon Campus)
2022-01-01,신정,2022-01-01,New Year's Day
2022-01-03,학·석사학위 청구논문 심사 결과보고서 제출 마감 (2022.2월 졸업자),2022-01-03,Deadline for thesis evaluation for undergraduate and master's students (for those expecting to graduate in February 2022)
2022-01-03 ~ 2022-01-07,봄학기 석·박사과정 신입생 수강신청,2022-01-03 ~ 2022-01-07,Course registration for Spring 2022 classes
2022-01-03 ~ 2022-01-07,봄학기 학·석·박사과정 수강신청 및 복학(대상)자 수강신청,2022-01-03 ~ 2022-01-07,Spring 2022 course registration for matriculating graduate students & returning students
2022-01-10 ~ 2022-01-11,석사학위 인쇄논문 제출 (2022.2월 졸업자),2022-01-10 ~ 2022-01-11,Period to submit final thesis for master's degree (for those expecting to graduate in February 2022)
2022-01-17 ~ 2022-01-21,겨울학기 강의평가,2022-01-17 ~ 2022-01-21,Course evaluation for Winter 2021 classes
2022-01-24 ~ 2022-01-28,봄학기 학·석·박사과정 복학신청 및 전과신청,2022-01-24 ~ 2022-01-28,"Application for academic reinstatement (returning), changing major"
2022-01-24 ~ 2022-01-28,봄학기 석·박사과정 시간제·전일제 신청,2022-01-24 ~ 2022-01-28,Application for full-time / part-time status registration for Spring 2022
2022-01-24 ~ 2022-01-28,2022학년도 봄학기 석·박사과정 신입생 등록 (납입금 납부) ,2022-01-24 ~ 2022-01-28,Spring 2022 registration / tuition payment for matriculating graduate students
2022-01-28,겨울학기 종강,2022-01-28,End of Winter 2021 classes
2022-01-31 ~ 2022-02-02,설날 연휴,2022-01-31 ~ 2022-02-02,Lunar New Year's Day
2022-02-01,겨울학기 성적입력 마감,2022-02-01,Deadline to enter grades for Winter 2021
2022-02-16,개교기념일,2022-02-16,KAIST Foundation Anniversary
2022-02-18,2022년 학위수여식,2022-02-18,KAIST Commencement 2022
2022-02-18,2022년 2월 박사과정 학위수여기준일,2022-02-18,Completion date for doctoral degree in February 2022
2022-02-21 ~ 2022-02-25,2022학년도 봄학기 학·석·박사과정 재학생 등록 (납입금 납부) ,2022-02-21 ~ 2022-02-25,Spring 2022 tuition payment for current enrollees and returning students
2022-02-21 ~ 2022-03-07 ,봄학기 수강신청 변경,2022-02-21 ~ 2022-03-07 ,Period to add / drop Spring 2022 classes
2022-02-23,2022년 학사과정 입학식,2022-02-23,KAIST Undergraduate Matriculation Ceremony 2022
2022-02-23 ~ 2022-02-25,봄학기 학사과정 신입생 오리엔테이션,2022-02-23 ~ 2022-02-25,Orientation for matriculating undergraduate students
2022-02-24 ~ 2022-02-25,봄학기 학사/대학원 외국인 신입생 오리엔테이션,2022-02-24 ~ 2022-02-25,Orientation for matriculating international undergraduate/graduate students
2022-02-27,2022년 2월 학·석사과정 학위수여기준일,2022-02-27,Completion date for bachelor's/master's degree in February 2022
2022-02-28,봄학기 개강,2022-02-28,Beginning of Spring 2022 classes
2022-02-28 ~ 2022-03-03,학사과정 봄학기 학점인정시험 신청,2022-02-28 ~ 2022-03-03,Registration period for Spring 2022 course waiver exam for undergraduate students
2022-02-28 ~ 2022-03-11,학·석·박사과정 부전공 및 학사과정 복수전공·심화전공·자유융합전공·지정융합전공 신청,2022-02-28 ~ 2022-03-11,Period to declare minor for undergraduate / graduate students or double major / advanced major / individually designed major / designated interdisciplinary major for undergraduate students
2022-02-28 ~ 2022-03-11,석·박사과정 학제전공 신청·취소,2022-02-28 ~ 2022-03-11,Period to register / drop interdisciplinary majors for graduate students
2022-02-28 ~ 2022-03-11,학사과정 Honor Program 신청,2022-02-28 ~ 2022-03-11,Period to apply for Honor Program for undergraduate students
2022-02-28 ~ 2022-03-25,학·석·박사과정 부전공 및 학사과정 복수전공·심화전공·자유융합전공·지정융합전공 취소,2022-02-28 ~ 2022-03-25,Period to drop minor for undergraduate / graduate students or double major / advanced major / individually designed major / designated interdisciplinary major for undergraduate students
2022-02-28 ~ 2022-03-25,학사과정 조기졸업신청,2022-02-28 ~ 2022-03-25,Period to apply for early graduation for undergraduate students
2022-03-01,삼일절,2022-03-01,"Samiljeol, Independence Movement Day"
2022-03-04 ~ 2022-03-08   ,학사과정 봄학기 학점인정시험,2022-03-04 ~ 2022-03-08   ,Spring 2022 course waiver exam for undergraduate students
2022-03-07,봄학기 수강신청 변경 마감,2022-03-07,Deadline to add / drop Spring 2022 classes
2022-03-08 ~ 2022-04-15,학사과정 2006 이전 학번 및 학·석·박사과정 2009 이후 학번 봄학기 수강신청 취소,2022-03-08 ~ 2022-04-15,Period to drop for Spring 2022 classes for undergraduate students (who matriculated in 2009 or after and 2006 or before) and graduate students (who matriculated in 2009 or after)
2022-03-08 ~ 2022-04-29,"학사과정 2007, 2008학번 및 석·박사과정 2008 이전 학번 봄학기 수강신청 취소",2022-03-08 ~ 2022-04-29,"Period to drop for Spring 2022 classes for undergraduate students (who matriculated in 2007, 2008) and graduate students (who matriculated in 2008 or before)"
2022-03-09,20대 대통령 선거,2022-03-09,20th Presidential election
2022-03-11,학·석·박사과정 부전공 및 학사과정 복수전공·심화전공·자유융합전공·지정융합전공 신청 마감,2022-03-11,Deadline to declare minor for undergraduate / graduate students or double major / advanced major / individually designed major / designated interdisciplinary major for undergraduate students
2022-03-11,석·박사과정 학제전공 신청·취소 마감,2022-03-11,Deadline to register / drop interdisciplinary majors for graduate students
2022-03-11,학사과정 Honor Program 신청 마감,2022-03-11,Deadline to apply for Honor Program for undergraduate students
2022-03-25,학·석·박사과정 부전공 및 학사과정 복수전공·심화전공·자유융합전공·지정융합전공 취소 마감,2022-03-25,Deadline to drop minor for undergraduate / graduate students or double major / advanced major / individually designed major / designated interdisciplinary major for undergraduate students
2022-03-25,학사과정 조기졸업신청 마감,2022-03-25,Deadline to apply for early graduation for undergraduate students
2022-04-01 ~ 2022-04-07,학부생과 지도교수와의 만남의 주간,2022-04-01 ~ 2022-04-07,Week for undergraduate students' meetings with advisors
2022-04-11 ~ 2022-04-15,봄학기 중간 강의평가,2022-04-11 ~ 2022-04-15,Mid-term course evaluation for Spring 2022 classes
2022-04-15,학사과정 2006 이전 학번 및 학·석·박사과정 2009 이후 학번 봄학기 수강신청 취소 마감,2022-04-15,Deadline to drop for Spring 2022 classes for undergraduate students (who matriculated in 2009 or after and 2006 or before) and graduate students (who matriculated in 2009 or after)
2022-04-18 ~ 2022-04-22,봄학기 중간고사,2022-04-18 ~ 2022-04-22,Spring 2022 mid-term exams
2022-04-29,"학사과정 2007, 2008학번 및 석·박사과정 2008 이전 학번 봄학기 수강신청 취소 마감",2022-04-29,"Deadline to drop for Spring 2022 classes for undergraduate students (who matriculated in 2007, 2008) and graduate students (who matriculated in 2008 or before)"
2022-04-29,박사학위 청구 심사용 논문 제출 마감 (2022.8월 졸업자) ,2022-04-29,Deadline to submit dissertation defense for doctoral students (for those expecting to graduate in August 2022) 
2022-05-01 ~ 2022-05-07,학과장과 랩대표와의 만남의 주간,2022-05-01 ~ 2022-05-07,Week for lab. leaders' meetings with department heads
2022-05-05,어린이날,2022-05-05,Children's Day
2022-05-06,2022학년도 가을학기 교양·기초·전공과목 개설(안) 제출 마감,2022-05-06,"Deadline to submit course description / plans regarding liberal arts, basic courses and major classes for Fall 2022"
2022-05-06,2022학년도 여름학기 교과목 개설(안) 제출 마감,2022-05-06,Deadline to submit course descriptions / plans for Summer 2022
2022-05-06,2023학년도 봄학기 전공교과목 개설(안) 초안 제출 마감,2022-05-06,Deadline to submit course descriptions / plans regarding major classes for Spring 2023
2022-05-08,석가탄신일,2022-05-08,Buddha's Birthday
2022-05-17 ~ 2022-05-18,KAIST 태울석림제,2022-05-17 ~ 2022-05-18,KAIST TaeWoolSeokLim Festival 
2022-05-23 ~ 2022-05-26,여름학기 수강신청,2022-05-23 ~ 2022-05-26,Registration for Summer 2022 classes 
2022-05-27,학·석사학위 청구 심사용 논문 제출 마감 (2022.8월 졸업자),2022-05-27,Deadline to submit thesis defense for undergraduate and master's students (for those expecting to graduate in August 2022)
2022-05-30 ~ 2022-06-10,학사과정 학과신청,2022-05-30 ~ 2022-06-10,Period for department registration for undergraduate students
2022-05-30 ~ 2022-06-10,봄학기 강의평가,2022-05-30 ~ 2022-06-10,Course evaluation for Spring 2022 classes
2022-05-31,박사학위 청구 논문심사 개최요청 마감 (2022.8월 졸업자),2022-05-31,Deadline to request dissertation defense evaluation (for doctoral students expecting to graduate in August 2022)
2022-06-01,2022 지방선거,2022-06-01,2022 Local Election (8th Local Election Day) 
2022-06-06,현충일,2022-06-06,Memorial Day
2022-06-13 ~ 2022-06-17,봄학기 학기말 시험,2022-06-13 ~ 2022-06-17,Spring 2022 final exams
2022-06-15,박사학위 청구 논문심사 기간 마감 (2022.8월 졸업자),2022-06-15,Deadline for dissertation defense evaluation for doctoral students (for those expecting to graduate in August 2022)
2022-06-17,학·석사학위 청구 논문심사 기간 마감 (2022.8월 졸업자),2022-06-17,Deadline for thesis evaluation for undergraduate and master's students (for those expecting to graduate in August 2022)
2022-06-17,봄학기 종강,2022-06-17,End of Spring 2022 classes
2022-06-20,박사학위 청구논문 심사 결과보고서 제출 마감 (2022.8월 졸업자),2022-06-20,Deadline to post final dissertation evaluation results for doctoral students (for those expecting to graduate in August 2022)
2022-06-22 ~ 2022-06-29,여름학기 (1-8주 / 1-4주) 수강신청 변경,2022-06-22 ~ 2022-06-29,Period to add / drop for Summer (week 1-8) & 1st half of Summer semester (week 1-4)
2022-06-23,봄학기 성적입력 마감,2022-06-23,Deadline to enter grades for Spring 2022
2022-06-24,학·석사학위 청구논문 심사 결과보고서 제출 마감 (2022.8월 졸업자),2022-06-24,Deadline to post final thesis evaluation results for undergraduate and master's students (for those expecting to graduate in August 2022)
2022-06-24,석사학위 논문계획서 제출 마감 (2021학년도 가을학기 입학생),2022-06-24,Deadline to submit thesis proposal for master's degree (for those students who matriculated in Fall 2021)
2022-06-27,여름학기 개강,2022-06-27,Beginning of Summer 2022 classes
2022-06-27,여름학기 (1-8주 / 1-4주) 강의 시작,2022-06-27,Summer (week 1-8) & 1st half of Summer semester (week 1-4) begins
2022-06-28 ~ 2022-06-29,박사학위 인쇄논문 제출 (2022.8월 졸업자),2022-06-28 ~ 2022-06-29,Period to submit final dissertation for doctoral degree (for those expecting to graduate in August 2022)
2022-06-30 ~ 2022-07-01,석사학위 인쇄논문 제출 (2022.8월 졸업자),2022-06-30 ~ 2022-07-01,Period to submit final thesis for master's degree (for those expecting to graduate in August 2022)
2022-06-30 ~ 2022-07-08,여름학기 (1-8주 / 1-4주) 수강신청 취소,2022-06-30 ~ 2022-07-08,Period to drop for Summer (week 1-8) & 1st half of Summer semester (week 1-4)
2022-07-20 ~ 2022-07-27,여름학기 (5-8주) 수강신청 변경,2022-07-20 ~ 2022-07-27,Period to add / drop for 2nd half of Summer semester (week 5-8) 
