date,temp_high,temp_low,hum,rain
2021-01-01,1.6,-9.8,64,
2021-01-02,-1.4,-8.4,38.5,
2021-01-03,-2,-9.1,45,
2021-01-04,0.3,-8.4,51.4,0
2021-01-05,-2.1,-9.9,52.8,0
2021-01-06,-1.9,-12,54.6,2.3
2021-01-07,-8.4,-16.5,49.9,
2021-01-08,-10.7,-18.6,44,
2021-01-09,-7.5,-16.6,46.3,
2021-01-10,-2.7,-12.8,54.4,
2021-01-11,-4,-9.6,62.1,
2021-01-12,-0.5,-9.3,79.5,2.6
2021-01-13,8.3,-3,80.3,0
2021-01-14,7,-3.6,46.5,
2021-01-15,9.9,-0.7,67.4,0.2
2021-01-16,-0.7,-8.7,59.3,
2021-01-17,-1.3,-10.8,58.5,0
2021-01-18,0.2,-9.1,64.3,0.3
2021-01-19,-0.2,-11.6,37.9,
2021-01-20,7.1,-6.6,37.8,
2021-01-21,7,2.5,64.4,9.2
2021-01-22,6.6,4.8,92.9,0.1
2021-01-23,12.2,4.8,66,
2021-01-24,13.9,2.4,63.9,
2021-01-25,13.9,3,62,
2021-01-26,7.4,1.7,80.4,1.7
2021-01-27,6.5,-1.8,47.6,
2021-01-28,1.4,-9.7,52.3,2
2021-01-29,-4.9,-11.6,40,
2021-01-30,5.2,-8.1,60,0.5
2021-01-31,8.7,-3.8,57,
2021-02-01,9.5,-2.3,74.5,0.7
2021-02-02,-2.4,-8.2,44.1,0
2021-02-03,1.4,-9.4,64.6,3.4
2021-02-04,0.7,-7.4,50.1,0.1
2021-02-05,6.7,-4.4,71.8,
2021-02-06,9.5,4.3,80.4,
2021-02-07,7.7,-2.6,67,
2021-02-08,0.2,-5.4,43.6,
2021-02-09,4.7,-6.1,51.9,
2021-02-10,7.2,-1.5,75.1,
2021-02-11,10.9,1.3,71.5,
2021-02-12,14,0.6,60.6,
2021-02-13,15.9,1,50.6,
2021-02-14,13.8,6.4,47.6,0
2021-02-15,8.2,-5.2,65.1,1.4
2021-02-16,-1.3,-7,57.9,1.5
2021-02-17,-5.2,-10.4,44.1,0
2021-02-18,-0.4,-10.6,44.9,
2021-02-19,8.9,-7.1,66.9,
2021-02-20,14.9,5.5,60.4,
2021-02-21,17.4,4.7,66.6,
2021-02-22,12.6,0.4,58.3,
2021-02-23,4.3,-3.1,34,
2021-02-24,10.1,-3,33,
2021-02-25,8.2,0.7,35.1,
2021-02-26,15.8,0.5,35,
2021-02-27,16.2,4.3,48.6,
2021-02-28,10.8,3.2,49,
2021-03-01,9,0.5,91,67.5
2021-03-02,6.9,0.2,75.9,0.1
2021-03-03,9.9,-1.2,64.4,
2021-03-04,13,2.5,62.4,
2021-03-05,16.2,3,70.3,
2021-03-06,11.6,3.2,69.5,
2021-03-07,12.2,2.1,62.9,
2021-03-08,13.9,1.5,60.3,
2021-03-09,12.2,2.1,58.5,
2021-03-10,17.1,1.7,61.8,
2021-03-11,17.1,4.7,50.8,
2021-03-12,14.9,7.2,57,0
2021-03-13,14.2,4.6,62.8,
2021-03-14,14.7,4.9,71.4,
2021-03-15,15.7,5.1,68.8,1.7
2021-03-16,13.1,4.9,52.5,1.3
2021-03-17,17.5,1.8,44.9,
2021-03-18,18.4,5,50.1,
2021-03-19,20.2,11.4,47.9,
2021-03-20,14.7,7.4,74.6,5.1
2021-03-21,8.6,3.1,65.9,0.3
2021-03-22,11.1,1.1,55.3,
2021-03-23,16.4,2.5,63.5,
2021-03-24,16.9,5.7,61.5,
2021-03-25,19,6.8,68.5,
2021-03-26,20.6,4.8,58.4,
2021-03-27,15,10.2,70.9,25.5
2021-03-28,13,7.7,95.8,9.2
2021-03-29,14.6,7.3,62.3,0.2
2021-03-30,18.2,4.1,47.3,
2021-03-31,22.9,5.9,41,
2021-04-01,24,12,33,
2021-04-02,23,12.5,35.6,0
2021-04-03,18,10.9,80.8,56.2
2021-04-04,15.8,9,65.8,0.6
2021-04-05,19.3,5.4,47.9,
2021-04-06,19.2,9.4,50.9,
2021-04-07,20.4,8.1,47.5,
2021-04-08,18,7.2,34,
2021-04-09,19.6,7.6,39.3,
2021-04-10,18.8,7.7,50,
2021-04-11,21.8,7.5,45.4,
2021-04-12,17.8,11.9,70.4,22
2021-04-13,13.5,5.7,74,8
2021-04-14,13.3,3.1,58.5,
2021-04-15,18.3,6.3,62.3,
2021-04-16,14.8,8.1,60,0.7
2021-04-17,14.6,6,56.6,0
2021-04-18,15.3,5.6,64.3,
2021-04-19,19.4,5.8,65.3,
2021-04-20,22,8.1,55.1,
2021-04-21,28.2,10.3,43.1,
2021-04-22,27.5,16.1,37.9,
2021-04-23,21.7,17,41.4,0
2021-04-24,22.2,15.3,43,0
2021-04-25,24,12.6,50,
2021-04-26,20.6,12.3,51.8,
2021-04-27,20,12.5,62.4,1.7
2021-04-28,18.2,11.2,64.1,4.7
2021-04-29,20.1,10.9,54.1,3.9
2021-04-30,14.6,8.6,81.8,26.3
2021-05-01,15.3,8.5,80.8,8
2021-05-02,18.7,7.3,67.9,1.7
2021-05-03,20.3,8.4,56.4,
2021-05-04,15.8,11.4,82.6,19.6
2021-05-05,18.4,10.3,64.4,0.1
2021-05-06,23.1,7.9,46.4,
2021-05-07,17.2,10.7,60.3,8.8
2021-05-08,21,8.9,66.1,
2021-05-09,21.8,10,51.3,
2021-05-10,14.6,11.7,67.9,0
2021-05-11,25.7,9.4,48.9,
2021-05-12,27.7,16.9,39.5,
2021-05-13,29.6,16.6,54.4,
2021-05-14,30.8,18,60.3,
2021-05-15,26.2,20.8,79.5,15
2021-05-16,20.8,14.8,97.6,66.9
2021-05-17,16.7,14.2,93,3.1
2021-05-18,24.5,13.6,70.5,
2021-05-19,26.6,12.4,52.3,
2021-05-20,22.9,15.6,59.8,0.9
2021-05-21,18.2,14.2,86.5,6.9
2021-05-22,23.8,13.8,69.3,0.2
2021-05-23,25.1,14.3,64.4,
2021-05-24,24.5,16.4,61,
2021-05-25,19.3,11.9,72.3,8.3
2021-05-26,23,11.5,58.5,0
2021-05-27,18.7,13.9,83,8.9
2021-05-28,19.7,12.4,86,12.3
2021-05-29,19.1,12.8,79.8,0.3
2021-05-30,26.3,10.8,73,18.1
2021-05-31,23.8,16.5,78.9,4
2021-06-01,23.9,15.9,74.6,3.2
2021-06-02,29.7,16.6,64.4,
2021-06-03,22.7,14.6,80.8,18.1
2021-06-04,23.6,13.3,69.4,
2021-06-05,25.7,17,68.1,
2021-06-06,28.2,18.4,69.6,
2021-06-07,24,19.4,71.5,0
2021-06-08,29.5,18.8,69.6,0.1
2021-06-09,31.6,19.5,59.1,
2021-06-10,29.8,20.5,68.5,6.1
2021-06-11,24.4,19.9,84.5,4.6
2021-06-12,30.2,18.2,74.6,
2021-06-13,29.7,20.9,72.6,
2021-06-14,30.2,18.9,68.8,
2021-06-15,25.3,21.5,79.1,1.9
2021-06-16,28.9,20.3,59.9,
2021-06-17,25,19.6,71.4,0
2021-06-18,21.4,19,92.1,6.3
2021-06-19,27.4,17.5,74,
2021-06-20,29,17.6,73.3,
2021-06-21,28.5,19.2,67,
2021-06-22,28.6,19.7,67.9,0
2021-06-23,27.9,18.8,70.5,7.5
2021-06-24,28,18.5,71.1,
2021-06-25,29.5,19.5,69,
2021-06-26,26.7,19.9,78.5,4.5
2021-06-27,30.8,19.8,72.1,38.2
2021-06-28,29.2,21,76.4,0.1
2021-06-29,28.4,21.3,78.6,8
2021-06-30,28.8,21,77.9,6
2021-07-01,31,21.4,70.9,
2021-07-02,31.8,23.6,64.1,
2021-07-03,25.7,19.6,80,60
2021-07-04,23.1,19.8,96.8,21.4
2021-07-05,26.9,20.1,80.3,
2021-07-06,30.1,21,73.4,
2021-07-07,29.1,23.9,78.5,12.7
2021-07-08,29.8,23.8,81.6,2.9
2021-07-09,29.2,23.6,77.3,0
2021-07-10,29.2,23.1,80.4,0.5
2021-07-11,27.5,24.1,86.8,0.4
2021-07-12,32.5,23.8,75.1,
2021-07-13,31.5,26.3,76.1,
2021-07-14,33.5,26.1,71.4,
2021-07-15,34.5,25.9,71.1,0
2021-07-16,35.2,24.2,68.4,
2021-07-17,32.8,24.7,63.1,0
2021-07-18,34.1,25.7,62.5,
2021-07-19,30.5,24,80.1,67.4
2021-07-20,31.8,23.6,75.8,0
2021-07-21,35.3,25.3,64,
2021-07-22,35.9,26.5,59.8,
2021-07-23,35.8,27.2,61.8,
2021-07-24,36.5,26.9,57.4,
2021-07-25,35.9,27.2,55.8,
2021-07-26,35.4,27.4,54.9,
2021-07-27,35.7,27.8,60.5,
2021-07-28,34.7,27.1,67.4,0
2021-07-29,33.3,27,69.9,
2021-07-30,35.4,25.8,63.1,
2021-07-31,34.3,26.8,69.9,3
2021-08-01,28.8,25.1,81.8,21
2021-08-02,28.6,25,82.6,1.7
2021-08-03,31.4,24.1,76.9,0
2021-08-04,33.2,26.3,70.6,
2021-08-05,33.7,25.6,68.1,
